"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2009","643.6","642.0","665.8","637.2","38.57K","0.31%"
"05/11/2009","641.6","641.7","647.8","633.0","26.11K","-0.25%"
"05/08/2009","643.2","642.4","666.6","640.6","42.78K","0.12%"
"05/07/2009","642.4","630.0","661.5","621.5","48.79K","1.73%"
"05/06/2009","631.5","587.9","633.7","586.7","35.22K","7.87%"
"05/05/2009","585.4","607.0","608.0","578.3","23.18K","-3.37%"
"05/04/2009","605.8","594.0","612.7","586.0","14.96K","2.24%"
"05/02/2009","592.5","592.9","593.9","589.1","0.84K","0.19%"
"05/01/2009","591.4","589.0","593.0","577.6","12.36K","4.56%"
"04/29/2009","565.6","546.9","571.0","536.0","20.73K","4.01%"
"04/28/2009","543.8","556.1","564.8","541.0","17.92K","-2.60%"
"04/27/2009","558.3","566.3","569.4","549.0","18.39K","-1.86%"
"04/25/2009","568.9","569.0","569.8","567.1","0.52K","0.19%"
"04/24/2009","567.8","554.9","574.3","544.2","25.49K","2.38%"
"04/23/2009","554.6","570.0","585.4","551.0","29.41K","-3.19%"
"04/22/2009","572.9","583.0","585.0","563.6","24.81K","-1.48%"
"04/21/2009","581.5","600.6","600.6","573.1","30.96K","-4.28%"
"04/20/2009","607.5","630.0","633.2","605.7","27.83K","-3.86%"
"04/18/2009","631.9","630.0","634.0","630.0","0.91K","-0.30%"
"04/17/2009","633.8","619.6","637.1","604.0","31.31K","2.11%"
"04/16/2009","620.7","614.7","629.8","604.4","42.80K","1.39%"
"04/15/2009","612.2","583.0","613.9","580.8","39.01K","5.52%"
"04/14/2009","580.2","559.5","582.8","559.5","21.01K","4.17%"
"04/13/2009","557.0","553.8","564.9","550.1","13.28K","1.13%"
"04/11/2009","550.8","548.7","553.3","548.7","1.12K","0.64%"
"04/09/2009","547.3","545.0","556.6","545.0","23.42K","0.04%"
"04/08/2009","547.1","543.0","550.9","536.6","18.17K","0.31%"
"04/07/2009","545.4","534.5","552.7","534.1","14.00K","1.55%"
"04/06/2009","537.1","548.0","558.3","531.1","24.64K","-1.38%"
"04/04/2009","544.6","542.0","545.5","542.0","0.79K","0.26%"
"04/03/2009","543.2","525.0","547.9","524.0","32.83K","2.90%"
"04/02/2009","527.9","514.2","534.0","511.3","28.89K","2.98%"
"04/01/2009","512.6","502.0","518.7","494.7","24.34K","6.95%"
"03/31/2009","479.3","486.0","488.0","478.6","7.44K","-0.93%"
"03/30/2009","483.8","490.0","490.0","478.3","7.97K","-0.66%"
"03/28/2009","487.0","486.5","487.9","485.5","0.46K","-0.04%"
"03/27/2009","487.2","491.4","493.3","484.2","7.25K","-0.59%"
"03/26/2009","490.1","484.9","498.4","484.9","14.90K","1.30%"
"03/25/2009","483.8","496.0","498.5","483.0","10.51K","-2.44%"
"03/24/2009","495.9","496.5","502.3","491.2","11.20K","-1.10%"
"03/23/2009","501.4","507.0","515.7","496.5","16.38K","-0.97%"
"03/21/2009","506.3","507.0","507.0","505.0","0.45K","0.10%"
"03/20/2009","505.8","507.7","519.2","504.0","15.98K","-0.14%"
"03/19/2009","506.5","508.9","514.8","501.5","14.84K","-0.08%"
"03/18/2009","506.9","513.0","522.8","503.1","15.06K","-1.15%"
"03/17/2009","512.8","516.9","533.5","510.1","21.64K","-1.21%"
"03/16/2009","519.1","496.5","522.7","494.2","19.65K","4.95%"
"03/14/2009","494.6","494.0","495.4","494.0","0.23K","-0.16%"
"03/13/2009","495.4","494.7","500.7","491.9","7.33K","0.41%"
"03/12/2009","493.4","501.7","506.1","488.0","9.72K","-1.83%"
"03/11/2009","502.6","509.2","512.0","501.2","2.63K","-1.49%"
"03/10/2009","510.2","506.9","514.6","492.0","9.78K","1.03%"
"03/09/2009","505.0","509.5","512.2","502.1","6.17K","-1.23%"
"03/07/2009","511.3","506.3","511.8","506.3","0.40K","0.87%"
"03/06/2009","506.9","506.9","517.9","503.9","10.14K","0.28%"
"03/05/2009","505.5","514.0","522.0","501.3","13.58K","-1.83%"
"03/04/2009","514.9","506.5","519.7","504.0","15.08K","1.86%"
"03/03/2009","505.5","503.2","510.6","494.1","9.73K","0.38%"
"03/02/2009","503.6","504.1","514.7","502.1","8.58K","-0.83%"
"02/28/2009","507.8","509.5","510.5","505.0","0.50K","3.59%"
"02/27/2009","490.2","508.0","508.0","484.1","0.71K","-2.47%"
"02/26/2009","502.6","505.9","518.5","497.6","2.28K","-0.55%"
"02/25/2009","505.4","486.2","508.0","483.4","2.30K","3.86%"
"02/24/2009","486.6","471.2","488.2","462.0","2.00K","3.01%"
"02/23/2009","472.4","475.0","481.4","468.7","0.85K","0.06%"
"02/21/2009","472.1","473.0","475.8","469.0","0.17K","-0.30%"
"02/20/2009","473.5","494.4","497.4","470.0","1.74K","-4.05%"
"02/19/2009","493.5","490.9","501.8","484.3","1.95K","1.48%"
"02/18/2009","486.3","494.8","494.8","480.0","1.59K","-1.70%"
"02/17/2009","494.7","500.5","507.5","493.0","1.85K","-1.38%"
"02/16/2009","501.6","503.8","504.8","491.5","2.40K","-0.79%"
"02/14/2009","505.6","505.7","507.0","503.9","0.05K","0.24%"
"02/13/2009","504.4","510.4","514.1","499.4","2.12K","-0.06%"
"02/12/2009","504.7","513.0","515.5","495.1","2.41K","-1.12%"
"02/11/2009","510.4","530.0","530.4","505.3","3.67K","-3.90%"
"02/10/2009","531.1","561.0","563.3","528.2","4.05K","-5.35%"
"02/09/2009","561.1","570.4","580.9","558.9","2.62K","-1.63%"
"02/07/2009","570.4","571.5","572.2","569.0","0.09K","0.18%"
"02/06/2009","569.4","559.8","574.8","559.8","2.58K","2.04%"
"02/05/2009","558.0","572.5","577.5","553.5","2.33K","-2.41%"
"02/04/2009","571.8","562.0","585.0","561.4","3.20K","1.24%"
"02/03/2009","564.8","556.5","568.5","547.2","3.26K","1.66%"
"02/02/2009","555.6","545.0","565.0","540.1","2.02K","0.73%"
"01/31/2009","551.6","551.0","554.0","548.0","0.05K","3.55%"
"01/30/2009","532.7","555.0","563.9","525.3","1.08K","-4.00%"
"01/29/2009","554.9","571.0","578.0","537.1","2.68K","-2.89%"
"01/28/2009","571.4","551.5","584.6","545.0","2.59K","3.07%"
"01/27/2009","554.4","575.8","586.5","544.6","2.62K","-3.28%"
"01/24/2009","573.2","578.9","580.5","571.0","0.07K","-0.59%"
"01/23/2009","576.6","541.2","591.0","528.9","3.61K","6.11%"
"01/22/2009","543.4","536.0","553.9","528.5","2.83K","1.74%"
"01/21/2009","534.1","554.0","562.7","528.2","2.96K","-2.59%"
"01/20/2009","548.3","545.0","567.0","527.5","3.59K","0.20%"
"01/19/2009","547.2","530.5","550.4","523.6","3.23K","3.40%"
"01/17/2009","529.2","526.3","530.0","525.5","0.08K","0.42%"
"01/16/2009","527.0","525.9","541.8","523.2","3.35K","0.63%"
"01/15/2009","523.7","524.0","531.0","512.6","2.94K","-0.08%"
"01/14/2009","524.1","535.1","544.0","508.6","2.48K","-3.76%"
"01/13/2009","544.6","510.0","550.0","498.1","4.64K","4.99%"
"01/12/2009","518.7","585.0","588.0","508.6","6.04K","-10.26%"
"01/10/2009","578.0","583.0","583.7","576.1","0.05K","-0.62%"
"01/09/2009","581.6","554.0","584.5","542.6","3.57K","5.02%"
"01/08/2009","553.8","593.0","596.0","550.7","4.28K","-7.00%"
"01/07/2009","595.5","648.9","652.6","592.5","3.75K","-7.16%"
"01/06/2009","641.4","617.0","654.8","617.0","4.40K","3.62%"
"01/05/2009","619.0","624.4","628.4","598.0","4.19K","-2.10%"
"01/03/2009","632.3","620.6","634.5","620.6","0.09K","1.07%"
"01/02/2009","625.6","585.0","643.9","570.6","6.49K","6.87%"
"01/01/2009","585.4","576.0","592.9","574.0","0.73K","11.80%"
"12/31/2008","523.6","507.8","538.0","503.6","1.29K","2.15%"
"12/30/2008","512.6","474.0","515.4","463.7","1.74K","8.42%"
"12/29/2008","472.8","471.0","484.8","470.2","1.00K","0.92%"
"12/27/2008","468.5","468.9","471.2","467.5","0.04K","0.32%"
"12/26/2008","467.0","467.6","474.0","457.5","0.61K","-0.36%"
"12/24/2008","468.7","479.0","480.9","458.6","1.14K","-1.57%"
"12/23/2008","476.2","483.5","497.9","473.7","1.93K","-2.06%"
"12/22/2008","486.2","487.5","497.9","476.0","1.97K","0.29%"
"12/20/2008","484.8","489.9","489.9","479.0","0.05K","0.02%"
"12/19/2008","484.7","455.3","486.3","450.5","3.50K","6.53%"
"12/18/2008","455.0","462.8","469.3","442.3","2.06K","-2.63%"
"12/17/2008","467.3","460.4","477.0","458.6","1.75K","1.17%"
"12/16/2008","461.9","476.0","485.9","460.0","1.89K","-3.97%"
"12/15/2008","481.0","515.5","521.0","478.2","2.41K","-5.45%"
"12/13/2008","508.7","511.9","511.9","505.0","0.04K","0.10%"
"12/12/2008","508.2","530.0","530.0","494.5","2.59K","-4.40%"
"12/11/2008","531.6","504.1","540.8","485.8","4.61K","5.64%"
"12/10/2008","503.2","464.0","503.7","462.0","1.91K","8.89%"
"12/09/2008","462.1","455.0","464.5","450.6","0.91K","0.06%"
"12/08/2008","461.8","462.8","486.0","460.0","2.32K","1.01%"
"12/06/2008","457.2","459.4","460.0","455.5","0.08K","0.18%"
"12/05/2008","456.4","463.0","467.0","447.6","1.85K","-1.45%"
"12/04/2008","463.1","468.0","474.5","460.0","2.21K","-1.38%"
"12/03/2008","469.6","489.9","492.0","467.1","1.97K","-3.87%"
"12/02/2008","488.5","507.0","508.5","484.5","1.97K","-3.82%"
"12/01/2008","507.9","515.0","528.0","505.2","2.13K","-1.55%"
"11/29/2008","515.9","515.5","517.7","514.5","0.04K","6.68%"
"11/28/2008","483.6","518.0","518.0","476.2","1.08K","-7.43%"
"11/26/2008","522.4","513.5","534.7","507.0","1.91K","1.81%"
"11/25/2008","513.1","516.5","526.5","502.0","1.94K","-0.98%"
"11/24/2008","518.2","507.0","532.7","495.4","2.12K","2.37%"
"11/22/2008","506.2","506.0","509.4","503.2","0.05K","1.12%"
"11/21/2008","500.6","487.2","520.3","485.1","2.44K","0.99%"
"11/20/2008","495.7","510.6","516.6","491.6","1.54K","-4.21%"
"11/19/2008","517.5","532.0","533.5","511.0","1.72K","-2.36%"
"11/18/2008","530.0","529.5","536.9","511.4","2.29K","-0.02%"
"11/17/2008","530.1","542.3","546.3","524.0","2.04K","-3.74%"
"11/15/2008","550.7","546.4","551.4","546.4","0.04K","0.44%"
"11/14/2008","548.3","570.0","575.9","544.0","2.77K","-2.58%"
"11/13/2008","562.8","534.0","570.0","517.0","2.50K","4.55%"
"11/12/2008","538.3","534.0","553.0","521.5","2.92K","1.20%"
"11/11/2008","531.9","559.0","559.0","527.2","2.13K","-3.20%"
"11/10/2008","549.5","551.0","593.0","542.7","3.11K","1.40%"
"11/08/2008","541.9","539.2","543.8","538.9","0.07K","0.65%"
"11/07/2008","538.4","565.0","578.0","530.7","2.61K","-4.64%"
"11/06/2008","564.6","586.0","589.5","561.2","2.47K","-4.42%"
"11/05/2008","590.7","605.0","624.3","582.5","3.16K","-3.50%"
"11/04/2008","612.1","582.5","617.5","561.7","4.49K","4.94%"
"11/03/2008","583.3","623.8","649.3","573.1","3.00K","-6.45%"
"11/01/2008","623.5","616.7","627.0","608.2","0.09K","12.04%"
"10/31/2008","556.5","563.1","573.0","535.2","3.75K","-3.10%"
"10/30/2008","574.3","647.0","647.0","573.8","5.46K","-11.93%"
"10/29/2008","652.1","583.0","657.4","568.2","9.04K","13.07%"
"10/28/2008","576.7","568.0","583.0","568.0","1.74K","4.55%"
"10/27/2008","551.6","482.0","558.0","466.8","6.77K","13.69%"
"10/25/2008","485.2","489.9","489.9","482.0","0.21K","-0.63%"
"10/24/2008","488.3","465.1","507.0","447.8","10.53K","3.41%"
"10/23/2008","472.2","465.7","502.0","458.6","13.38K","-3.22%"
"10/22/2008","487.9","529.0","533.5","485.4","8.55K","-8.53%"
"10/21/2008","533.4","526.2","546.5","515.3","11.89K","1.77%"
"10/20/2008","524.1","530.0","538.0","516.6","10.30K","-1.60%"
"10/18/2008","532.6","537.1","539.6","525.0","0.29K","-1.77%"
"10/17/2008","542.2","561.0","572.0","514.0","12.01K","-2.34%"
"10/16/2008","555.2","572.9","586.9","545.4","10.46K","-4.31%"
"10/15/2008","580.2","620.1","628.0","575.1","9.65K","-6.90%"
"10/14/2008","623.2","629.5","657.9","618.0","9.42K","-0.03%"
"10/13/2008","623.4","606.9","634.2","588.2","7.87K","7.15%"
"10/11/2008","581.8","582.0","585.5","571.0","0.32K","-0.48%"
"10/10/2008","584.6","633.5","633.5","566.1","8.45K","-8.77%"
"10/09/2008","640.8","632.4","655.0","631.2","3.88K","0.75%"
"10/08/2008","636.0","687.9","692.3","629.0","8.72K","-7.30%"
